id,season,city,date,team1,team2,toss_winner,toss_decision,dl_applied,winner,win_by_runs,win_by_wickets,toss_decision1
1,2017,0,2017-05-04,0,4,4,0,0,0,35,0,0
2,2017,1,2017-06-04,1,3,3,0,0,3,0,7,0
3,2017,2,2017-07-04,2,5,5,0,0,5,0,10,0
4,2017,3,2017-08-04,3,7,7,0,0,7,0,6,0
5,2017,4,2017-08-04,4,6,4,1,0,4,15,0,1
6,2017,0,2017-09-04,2,0,0,0,0,0,0,9,0
7,2017,5,2017-09-04,5,1,1,0,0,1,0,4,0
8,2017,3,2017-10-04,4,7,4,1,0,7,0,8,1
9,2017,1,2017-11-04,6,3,3,0,0,6,97,0,0
10,2017,5,2017-12-04,0,1,1,0,0,1,0,4,0
11,2017,6,2017-04-13,7,5,5,0,0,5,0,8,0
12,2017,4,2017-04-14,4,1,1,0,0,1,0,4,0
13,2017,2,2017-04-14,3,2,2,0,0,2,0,7,0
14,2017,6,2017-04-15,5,0,0,0,0,5,17,0,0
15,2017,7,2017-04-15,6,7,6,1,0,6,51,0,1
16,2017,5,2017-04-16,2,1,1,0,0,1,0,6,0
17,2017,4,2017-04-16,3,4,4,0,0,3,27,0,0
18,2017,7,2017-04-17,6,5,6,1,0,5,0,4,1
19,2017,0,2017-04-17,0,7,7,0,0,0,5,0,0
20,2017,2,2017-04-18,4,2,2,0,0,4,21,0,0
21,2017,0,2017-04-19,0,6,0,1,0,0,15,0,1
22,2017,3,2017-04-20,7,1,1,0,0,1,0,8,0
23,2017,6,2017-04-21,5,2,2,0,0,2,0,4,0
24,2017,5,2017-04-22,1,6,6,0,0,1,14,0,0
25,2017,1,2017-04-22,0,3,3,0,0,3,0,6,0
26,2017,2,2017-04-23,7,2,2,0,0,7,26,0,0
27,2017,6,2017-04-23,5,4,4,0,0,5,82,0,0
28,2017,5,2017-04-24,3,1,1,0,0,3,3,0,0
29,2017,1,2017-04-26,3,5,5,0,0,5,0,7,0
30,2017,4,2017-04-27,4,2,2,0,0,2,0,7,0
31,2017,6,2017-04-28,6,5,5,0,0,5,0,7,0
32,2017,8,2017-04-28,0,7,7,0,0,0,26,0,0
33,2017,1,2017-04-29,3,4,4,0,0,3,61,0,0
34,2017,2,2017-04-29,2,1,2,1,0,1,0,0,1
35,2017,8,2017-04-30,6,7,7,0,0,7,0,10,0
36,2017,0,2017-04-30,0,5,5,0,0,0,48,0,0
37,2017,5,2017-01-05,4,1,4,1,0,1,0,5,1
38,2017,1,2017-01-05,2,3,3,0,0,3,0,5,0
39,2017,7,2017-02-05,0,6,6,0,0,6,0,6,0
40,2017,6,2017-03-05,5,3,3,0,0,3,0,4,0
41,2017,7,2017-04-05,2,6,6,0,0,6,0,7,0
42,2017,4,2017-05-05,7,4,4,0,0,7,19,0,0
43,2017,0,2017-06-05,3,0,0,0,0,3,12,0,0
44,2017,7,2017-06-05,1,6,6,0,0,1,146,0,0
45,2017,4,2017-07-05,4,5,5,0,0,5,0,6,0
46,2017,8,2017-07-05,7,2,2,0,0,2,0,6,0
47,2017,0,2017-08-05,1,0,1,1,0,0,0,7,1
48,2017,8,2017-09-05,7,5,5,0,0,7,14,0,0
49,2017,9,2017-10-05,2,6,6,0,0,6,0,2,0
50,2017,5,2017-11-05,7,1,1,0,0,7,7,0,0
51,2017,7,2017-12-05,6,3,6,1,0,6,7,0,1
52,2017,9,2017-05-13,2,0,0,0,0,0,0,8,0
53,2017,6,2017-05-13,1,5,5,0,0,1,9,0,0
54,2017,1,2017-05-14,7,3,3,0,0,3,0,9,0
55,2017,7,2017-05-14,4,6,4,1,0,4,10,0,1
56,2017,5,2017-05-16,3,1,1,0,0,3,20,0,0
57,2017,4,2017-05-17,0,5,5,0,1,5,0,7,0
58,2017,4,2017-05-19,5,1,1,0,0,1,0,6,0
59,2017,0,2017-05-21,1,3,1,1,0,1,1,0,1
60,2008,4,2008-04-18,5,4,4,0,0,5,140,0,0
61,2008,8,2008-04-19,8,7,8,1,0,8,33,0,1
62,2008,7,2008-04-19,9,6,9,1,0,6,0,9,1
63,2008,5,2008-04-20,1,4,1,1,0,4,0,5,1
64,2008,6,2008-04-20,10,5,10,1,0,5,0,5,1
65,2008,10,2008-04-21,7,9,7,1,0,9,0,6,1
66,2008,0,2008-04-22,10,6,10,1,0,6,0,9,1
67,2008,11,2008-04-23,8,1,1,0,0,8,6,0,0
68,2008,0,2008-04-24,10,9,9,0,0,9,0,3,0
69,2008,8,2008-04-25,7,1,1,0,0,7,66,0,0
70,2008,4,2008-04-26,4,9,9,0,0,9,0,7,0
71,2008,11,2008-04-26,5,8,5,1,0,8,0,9,1
72,2008,5,2008-04-27,1,10,10,0,0,10,0,10,0
73,2008,8,2008-04-27,6,7,6,1,0,7,0,4,1
74,2008,4,2008-04-28,8,4,8,1,0,8,13,0,1
75,2008,6,2008-04-29,5,1,5,1,0,1,0,7,1
76,2008,7,2008-04-30,6,4,4,0,0,6,10,0,0
77,2008,0,2008-01-05,10,7,7,0,0,7,0,7,0
78,2008,10,2008-01-05,9,5,9,1,0,9,45,0,1
79,2008,11,2008-02-05,8,6,8,1,0,6,0,8,1
80,2008,0,2008-05-25,10,4,10,1,0,4,0,5,1
81,2008,8,2008-03-05,7,5,7,1,0,7,9,0,1
82,2008,5,2008-04-05,1,6,6,0,0,1,29,0,0
83,2008,10,2008-04-05,8,9,8,1,0,9,0,8,1
84,2008,4,2008-05-05,4,7,7,0,0,7,0,6,0
85,2008,11,2008-06-05,8,10,10,0,0,10,0,7,0
86,2008,5,2008-07-05,9,1,1,0,0,1,0,7,0
87,2008,7,2008-08-05,6,8,8,0,0,8,0,4,0
88,2008,6,2008-08-05,5,4,5,1,0,5,5,0,1
89,2008,10,2008-09-05,10,9,9,0,0,9,0,8,0
90,2008,4,2008-05-28,4,1,1,0,0,1,0,9,0
